Input,Predicted_Standard_Description,Predicted_CUI,Predicted_CODE,Predicted_SYSTEM,Predicted_SCORE,Semantic Score,Fuzzy Score
mri pelvis,MRI of pelvis,C0203201,2690005,SNOMED CT,0.95,0.91,1
hcv rna,Hepatitis C Virus (HCV) RNA test,C0035668,9394,RxNorm,0.82,0.7,1
depression screen,Whooley depression screen,C3472507,450752004,SNOMED CT,0.93,0.89,1
induction for prom,Induction of labor following premature rupture of membranes,C1283175,360161008,SNOMED CT,0.71,0.71,0.72
polypectomy,Polypectomy,C0521210,82035006,SNOMED CT,1,1,1
tympanic tube insertion,Insertion of tympanostomy tube,C5788004,1263464003,SNOMED CT,0.86,0.85,0.9
right salpingectomy,Right salpingectomy,C0404194,176916000,SNOMED CT,1,1,1
blood phiebotomy,Phlebotomy (Blood draw),C0005767,87612001,SNOMED CT,0.64,0.41,1
color and spectral doppler,Doppler color flow,C0474781,261197005,SNOMED CT,0.8,0.79,0.84
coronary angioplasty,Coronary angioplasty,C0190211,41339005,SNOMED CT,1,1,1
sono,aconite,C0001157,242,RxNorm,0.37,0.37,0.36
transvaginal ultrasound procedure,Transvaginal ultrasound scan,C0203418,13205008,SNOMED CT,0.88,0.88,0.9
intracytoplasmic sperm injection,ICSI - intracytoplasmic sperm injection,C0455164,425901007,SNOMED CT,0.9,0.87,1
ct brain,MRI of breast with or without contrast,C0412585,34227000,SNOMED CT,0.95,0.92,1
iud removal,CT scan of chest with or without contrast,C0420866,169484002,SNOMED CT,0.94,0.89,1
psychotherapy follow-up,Psychiatric follow-up,C0204511,88848003,SNOMED CT,0.77,0.76,0.77
hpv dna,Biopsy of cervix,C0201678,35904009,SNOMED CT,0.86,0.77,1
chd repair,Repair,C0374711,4365001,SNOMED CT,0.83,0.72,1
g1- vaginal delivery,Reduction of fracture,C0566690,289259007,SNOMED CT,0.9,0.88,1
renal bladder ultrasound,Ultrasound of kidney and bladder,C2456888,1.08E+15,SNOMED CT,0.92,0.94,0.86
depression screening,Depression screening,C0740218,171207006,SNOMED CT,1,1,1
spinal anesthesia,Spinal anesthesia,C0002928,231249005,SNOMED CT,1,1,1
body image counseling,Change in body image counseling,C0558052,225421002,SNOMED CT,0.89,0.86,1
endometrial biopsy,Endometrial biopsy,C1510477,386802000,SNOMED CT,1,1,1
cognitive behavioral therapy,Cognitive and behavioral therapy,C0009244,228557008,SNOMED CT,0.98,0.98,1
epidural asa,ASA 650 MG / butalbital 50 MG Oral Tablet,C0688082,197429,RxNorm,0.43,0.45,0.4
contraception vasectomy,Vasectomy for contraception,C0042387,22523008,SNOMED CT,0.99,0.98,1
drainage of skin abscess,Drainage of abscess of skin,C2960687,447075007,SNOMED CT,0.99,0.99,1
mcv,McV,C1961129,426342006,SNOMED CT,1,1,1
osteoporosis screening,Screening for osteoporosis,C0576743,300004007,SNOMED CT,0.99,0.98,1
splenectomy,Splenectomy,C0037995,234319005,SNOMED CT,1,1,1
dental procedure,Dental surgical procedure,C0204324,81733005,SNOMED CT,0.97,0.95,1
abdominal us,Ultrasound of abdomen,C0203464,45036003,SNOMED CT,0.76,0.61,1
vision screen vision screen,Vision screening,C0042792,408760009,SNOMED CT,0.71,0.67,0.9
right foot x-ray,Plain X-ray of right foot,C1960896,426311001,SNOMED CT,0.93,0.91,1
pilonidal cyst removal,CT scan of abdomen and pelvis with or without contrast,C0948308,702643008,SNOMED CT,0.99,0.98,1
color flow doppler,Color Doppler flow,C0474781,423736003,SNOMED CT,0.95,0.94,1
total hysterectomy oophorectomy,Total hysterectomy,C0677962,116140006,SNOMED CT,0.89,0.86,1
vaginal laceration repair,Zoladex injection,C0372565,237028006,SNOMED CT,0.93,0.93,0.92
biopsy of right cervical lymph node procedure,Biopsy of cervical lymph node (procedure),C0398433,234270003,SNOMED CT,0.88,0.85,1
excision of lesion of breast,Excision of lesion of breast,C2004478,392023007,SNOMED CT,1,1,1
staple removal,Removal of staple from epiphysis,C0407515,179196001,SNOMED CT,0.89,0.82,1
c-sections,Number of cesarean sections,C0474744,252115000,SNOMED CT,0.74,0.64,0.89
head us,Ultrasound of head,C0439224,258698007,SNOMED CT,0.82,0.7,1
mri abdomen,MRI of abdomen,C0412693,241621009,SNOMED CT,0.96,0.93,1
cabg,Emergency CABG,C1532296,414088005,SNOMED CT,0.81,0.68,1
fasciotomies,aconitine,C0001159,1441664,RxNorm,0.41,0.3,0.57
ovary removal,CT scan of chest,C0195494,5687005,SNOMED CT,0.9,0.84,1
chd screen,DIC screen,C0200493,53643002,SNOMED CT,0.77,0.75,0.8
cardiac valve replacement,Heart valve replacement,C0190173,34068001,SNOMED CT,0.95,0.97,0.85
right lumpectomy,Lumpectomy of right breast,C2200899,735086001,SNOMED CT,0.9,0.84,1
fetal echo with mfm,Fetal echocephalometry,C0554760,169224002,SNOMED CT,0.68,0.7,0.59
pediatric vision screen,Vision screening,C0042792,408760009,SNOMED CT,0.65,0.65,0.67
wchc ultrasound,Ultrasound,C0041618,16310003,SNOMED CT,0.83,0.72,1
pacemaker insertion,Insertion of pacemaker pulse generator,C0189843,70573000,SNOMED CT,0.91,0.85,1
pelvic us,Ultrasound for pelvic region,C0439224,258698007,SNOMED CT,0.72,0.53,1
partial l mastectomy,Partial mastectomy,C0024885,64368001,SNOMED CT,0.92,0.9,1
ivf,IVF medium,C3872464,469571006,SNOMED CT,0.9,0.83,1
re-exploratory laparotomy removal,Exploratory laparotomy,C0085704,74770008,SNOMED CT,0.9,0.87,1
amniocentess,aconite,C0001157,242,RxNorm,0.4,0.32,0.53
bilateral hip ultrasound,Ultrasound of bilateral testes,C5688223,1220588004,SNOMED CT,0.77,0.73,0.91
tooth removed circumcised,Circumcised foreskin,C0426340,249255000,SNOMED CT,0.58,0.55,0.71
screening for malignant neoplasm of cervix,Screening for malignant neoplasm of cervix,C0420020,171149006,SNOMED CT,1,1,1
blood products transfused,Transfusing blood products,C0005841,116859006,SNOMED CT,0.95,0.97,0.9
dm screening,Screening,C1305399,360156006,SNOMED CT,0.89,0.82,1
fetal u/s,Fetal hemorrhage into mother's circulation,C0015959,71028008,SNOMED CT,0.59,0.4,0.88
chemo,acetone,C0001002,178,RxNorm,0.47,0.45,0.5
breech birth,Birth,C0005615,3950001,SNOMED CT,0.85,0.75,1
hip u/s,U/h,C0456685,258949000,SNOMED CT,0.56,0.54,0.6
cpap,CPAP/BPAP oral mask,C3874730,704718009,SNOMED CT,0.85,0.76,1
loop electrical excision procedure,Loop electrosurgical excision procedure,C0184930,36899001,SNOMED CT,0.92,0.92,0.93
angiogram,Angiogram,C0002978,77343006,SNOMED CT,1,1,1
omphalocele closure,Closure of omphalocele,C0198568,30502000,SNOMED CT,0.99,0.98,1
myosure,aconite,C0001157,242,RxNorm,0.28,0.27,0.29
body lithotomy,Lithotomy,C1293108,123678003,SNOMED CT,0.93,0.88,1
blood sinsfusions,Blood,C0005767,87612001,SNOMED CT,0.78,0.64,1
breast biopsy,Biopsy of breast,C0405352,122548005,SNOMED CT,0.99,0.98,1
carotid ultrasound,Ultrasound of carotid artery,C0948945,276021004,SNOMED CT,0.92,0.87,1
screening annual mammography,Screening mammography,C0203028,24623002,SNOMED CT,0.93,0.91,1
transfused prbc,CT scan of abdomen and pelvis,C0199962,71493000,SNOMED CT,0.79,0.82,0.76
circumcision counseling,Circumcision,C0008819,72310004,SNOMED CT,0.88,0.8,1
ultrasound of fetal anatomy,Ultrasound scan for fetal presentation,C0412560,169228004,SNOMED CT,0.83,0.85,0.74
color doppler,Color ultrasonic Doppler,C0474781,423736003,SNOMED CT,0.88,0.8,1
dna screening,Thrombophilia DNA (deoxyribonucleic acid) marker screening test,C2732397,443212006,SNOMED CT,0.81,0.69,1
blood-drawphlebotomy,Blood,C0005767,87612001,SNOMED CT,0.58,0.3,1
peripheral stem call transplant,Stem cell transplant,C1504389,1269349006,SNOMED CT,0.76,0.74,0.86
xr chest portable,Portable plain X-ray,C0438653,425583002,SNOMED CT,0.61,0.6,0.64
vulvar biopsy,Vulvar biopsy,C1744618,274942001,SNOMED CT,1,1,1
digital tomosynthesis,Digital tomosynthesis - action,C5923179,1331948002,SNOMED CT,0.92,0.87,1
hpv screening,Screening,C1305399,360156006,SNOMED CT,0.75,0.59,1
lead blood,"Lead screening, blood",C0202399,35833009,SNOMED CT,0.9,0.83,1
nuchal translucency ultrasound,Ultrasound scan for fetal nuchal translucency,C1443351,408815001,SNOMED CT,0.87,0.83,1
remove pacemaker,Pacemaker care,C0397442,233184008,SNOMED CT,0.7,0.64,0.8
picc placement,Placement,C0021107,782902008,SNOMED CT,0.85,0.75,1
transuaginal us,Transvaginal ultrasound,C0439224,258698007,SNOMED CT,0.69,0.49,1
encounter for screening for human papillomavirus,Human papillomavirus screening,C3839551,700152009,SNOMED CT,0.92,0.9,1
afp,AFP radioimmunoassay,C0436162,169188005,SNOMED CT,0.77,0.62,1
screen for std,Seen by STD physician,C0583573,305679000,SNOMED CT,0.65,0.68,0.57
red blood cell transfusion,Transfusion of red blood cells,C0086252,116863004,SNOMED CT,0.97,0.97,0.93
colonescopy,aconite,C0001157,242,RxNorm,0.19,0.03,0.44
anticardiolipin antibody,Anticardiolipin antibody measurement,C0201535,65946008,SNOMED CT,0.82,0.7,1
human papilloma virus,Human papilloma virus infection,C0343641,240532009,SNOMED CT,0.97,0.96,1
preg test u,U- phenotype (finding),C1292208,115802003,SNOMED CT,0.51,0.54,0.4
hemoglobin alc,Hemoglobin,C0019046,38082009,SNOMED CT,0.89,0.81,1
tibc + ferritin serum,Serum ferritin/TIBC,C0565897,275759006,SNOMED CT,0.98,0.98,1
liver enzymee,Repair of vaginal laceration,C0443764,259670004,SNOMED CT,0.96,0.96,0.96
maternal antibody screen,Antibody screen,C0368676,120646007,SNOMED CT,0.88,0.85,1
bile acids total,Total bile acids measurement,C0201914,5264008,SNOMED CT,0.8,0.75,1
neutrophil,Tissue neutrophil,C0229611,88397004,SNOMED CT,0.94,0.89,1
globulin cale,Globulin,C0017649,81905004,SNOMED CT,0.86,0.77,1
alanine aminotransferase,Alanine aminotransferase,C0001899,56935002,SNOMED CT,1,1,1
creatine,creatine,C0010286,2907,RxNorm,1,1,1
antiphospholipid ab,Antiphospholipid anticoagulant,C0085240,16923002,SNOMED CT,0.82,0.76,0.91
triglycerick,acetylcholine,C0001041,194,RxNorm,0.35,0.37,0.32
hb a2,Hb,C0019046,38082009,SNOMED CT,0.97,0.94,1
hepistitis c screening,Hepatitis C screening,C0948769,413107006,SNOMED CT,0.76,0.72,0.93
rbc antibody screen,Antibody screen,C0368676,120646007,SNOMED CT,0.9,0.88,1
lymphocyte s,Lymphocyte,C0024264,56972008,SNOMED CT,0.94,0.89,1
urinalysis w/reflex microscopic,CT scan of head,C0430397,127800008,SNOMED CT,0.82,0.77,1
hiv nucleic acid testing,HIV 1 nucleic acid detection,C1275788,398579006,SNOMED CT,0.88,0.89,0.85
